InputType,Image,Question,Answer
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n260521.jpg,What is the vehicle that the fence is in front of called?,car
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n259002.jpg,Which kind of vehicle are the trees behind of?,car
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n222915.jpg,Which kind of furniture is the mat sitting on?,table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n171169.jpg,"What animal are the trees behind of, a sheep or a horse?",horse
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n293477.jpg,"What is the snack lying on top of, a bookcase or a bed?",bed
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n16425.jpg,"What vehicle is the telephone pole behind of, a train or a bus?",bus
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n181355.jpg,Which kind of furniture is behind the coffee table?,couch
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n262920.jpg,What are the devices that are in front of the cords called?,laptops
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n542609.jpg,What vehicle is parked at the train station?,train
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n249639.jpg,Is there any towel near the sink?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n202379.jpg,Are there boys in front of the fence that looks long?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n494677.jpg,Is there any elephant on the field?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n153118.jpg,Are there any American flags on the pole that is not short?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n434283.jpg,Are there bookcases above the sand?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n309148.jpg,Is there a traffic light in front of the bridge that is crossing the street?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n411121.jpg,Are there any people to the left of the vehicle in the center of the picture?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n429883.jpg,Are there any women to the left of the man the light fixture is facing?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n470920.jpg,Are there men to the right of the woman that is wearing trousers?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n470920.jpg,Is the laptop computer to the right or to the left of the person that is sitting beside the gift?,right
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n554880.jpg,Is the chair to the left or to the right of the cellphone?,left
